inner,gai,sphere,edeg,fenye,aliasing,texture,fitness
0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.5068475409864963
0.07628744356124365,0.16057234818380875,0.0791167456998346,0.18797196903326874,0.10810173599826575,0.203458016012514,0.18449174151106454,0.49894976359806015
0.06961651640180723,0.18901671989484173,0.07398161879256696,0.17967362738050596,0.11431912897236406,0.1993334525623262,0.17405893599558786,0.4950057338853841
0.0924979764736625,0.19166541796511544,0.09557725854475993,0.16167513059403738,0.12455367005348136,0.1778228623998893,0.15620768396905402,0.4965883607874307
0.13424671610701425,0.1681568154177273,0.13500805257988832,0.1485906942971074,0.14257321032730627,0.15407995426266718,0.14647498078942844,0.5020469765972386
0.13424671610701425,0.1681568154177273,0.13500805257988832,0.1485906942971074,0.14257321032730627,0.15407995426266718,0.14647498078942844,0.5020469765972386
0.13300803700720515,0.1701750584670105,0.1336544358416754,0.13933258083998665,0.14151032639121888,0.1452911568687564,0.13702840458414697,0.5008581342671774
0.13300803700720515,0.1701750584670105,0.1336544358416754,0.13933258083998665,0.14151032639121888,0.1452911568687564,0.13702840458414697,0.5008581342671774
0.12536965048895038,0.2040684689083045,0.12639868449354152,0.1324529100707911,0.14049924132698166,0.14267830722027477,0.12853273749115607,0.4968072446487622
0.11938726113047314,0.23714030781320983,0.12048774046863049,0.126548277446707,0.13658406832987793,0.13777629906937672,0.12207604574172493,0.4925862029752445
0.11419907128158532,0.26933896832245874,0.11526206007293949,0.1211610388256656,0.1314445945090198,0.13205311915313409,0.11654114783519699,0.4881024728818084
0.11419907128158532,0.26933896832245874,0.11526206007293949,0.1211610388256656,0.1314445945090198,0.13205311915313409,0.11654114783519699,0.4881024728818084
0.10510953784685978,0.3269435831740801,0.10605595669559811,0.11162758991422761,0.12144410601479799,0.1217217432481898,0.10709748310624667,0.47887521547598544
0.09660376752928346,0.38628628948270627,0.09732115109107349,0.10202623588380211,0.10973105122274424,0.10989488567645585,0.09813661911393469,0.46767655988830426
0.08896226454542962,0.4420576419987434,0.0894214726287064,0.09300700814404231,0.09816033287739837,0.09835957152666447,0.09003170827901551,0.4554900889879034
0.08330873493377508,0.48258539929422734,0.08358285305930634,0.0863185288111089,0.08993245438962516,0.09021558379774422,0.08405644571421308,0.4456577987549107
0.08082980510303774,0.49504373707819765,0.0810627290062177,0.08408281449292611,0.08845036413806567,0.08895110147448412,0.0815794487070711,0.44236173919492927
0.08082980510303774,0.49504373707819765,0.0810627290062177,0.08408281449292611,0.08845036413806567,0.08895110147448412,0.0815794487070711,0.44236173919492927
0.07681504368851791,0.49997521868539097,0.0770770789323361,0.08201844354335434,0.09232609205204079,0.09396139882962427,0.07782672426873573,0.4404074940093772
0.07368108775454621,0.49928146727302636,0.07423677914425648,0.07837807726176209,0.09815045709185069,0.10072161497657912,0.07555051649789406,0.4397933980088432
0.07344545488229266,0.49926918173035056,0.07364635492091816,0.07552826000462803,0.09978323571087146,0.10437040408875456,0.07395710866218318,0.439477611258316
0.07344545488229266,0.49926918173035056,0.07364635492091816,0.07552826000462803,0.09978323571087146,0.10437040408875456,0.07395710866218318,0.439477611258316
0.07207365125023481,0.4997242949041932,0.07203523274808299,0.07241862535262215,0.1020309248172322,0.10964780528602923,0.07206946564159719,0.43881151763757464
0.07177535572985239,0.49985198488534544,0.0718070773976765,0.07205452468290509,0.10059272986355336,0.11206599149044112,0.07185233595021916,0.43868565501458867
0.07177530775296524,0.49985193529200117,0.07180663800097152,0.0720535925166703,0.09809438837173748,0.11456643432687728,0.07185170373877695,0.4386597007994117
0.0717751881638587,0.4998518715784129,0.07180610055926248,0.07205239938080941,0.09488338915951888,0.11778010599723711,0.07185094516090058,0.43861541870326615
0.07177493204397146,0.4998517800406113,0.07180536751658197,0.07205069215695795,0.09088653212622336,0.1217807629065043,0.07184993320914967,0.43854297200527675
0.07177440828366491,0.49985163299060614,0.07180424236998134,0.07204796180914293,0.08617753677079923,0.12649580558881093,0.07184841218699456,0.4384326171169278
0.07177332609096077,0.4998513689442507,0.07180229134768175,0.07204308841309912,0.08113066363179644,0.13155344313043307,0.0718458184417782,0.4382836459439541
0.0717709455242246,0.49985083044213086,0.07179842053853637,0.07203326597704854,0.07655544259345068,0.13615036074134929,0.07184073418325974,0.4381203072690174
0.07176512677295484,0.49984952587991055,0.07178946512159087,0.07201039738550447,0.07350652919930255,0.13924986364151168,0.07182909199922514,0.4379936057096864
0.07174949331380474,0.49984593320541126,0.07176641258115098,0.07195283200444745,0.07232668575004368,0.14055918194694764,0.07179946119819436,0.4379323617027346
0.07174949331380474,0.49984593320541126,0.07176641258115098,0.07195283200444745,0.07232668575004368,0.14055918194694764,0.07179946119819436,0.4379323617027346
0.07151054850094327,0.4999416951616771,0.07150610356057856,0.07152328894450803,0.0715548476172977,0.14245522789954826,0.07150828831544721,0.43776490808020985
