inner,gai,sphere,edeg,fenye,aliasing,texture,fitness
0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.5068475409864963
0.077475060410992,0.16628106595765446,0.08045612828474771,0.1842257677233615,0.11099589362872246,0.19985206200630073,0.18071402198822117,0.49840450908170664
0.07015840442944848,0.19985126700933123,0.0745926770255586,0.1746620835799586,0.1166837064122202,0.19530417032647907,0.16874769121700373,0.49373413021568835
0.10176558533173799,0.21692658591531983,0.10468666532598728,0.1654675568972832,0.13393720908355203,0.1844107487652286,0.15920841083676446,0.4968899304452365
0.10176558533173799,0.21692658591531983,0.10468666532598728,0.1654675568972832,0.13393720908355203,0.1844107487652286,0.15920841083676446,0.4968899304452365
0.10182923307474073,0.23017960514092867,0.1039221513222201,0.14118984021947842,0.12711655781984074,0.16176508661427658,0.13399752580851476,0.49247098917671916
0.10182923307474073,0.23017960514092867,0.1039221513222201,0.14118984021947842,0.12711655781984074,0.16176508661427658,0.13399752580851476,0.49247098917671916
0.09221438262871749,0.28655703680941924,0.09460319876095483,0.12935652391591487,0.12324162579608287,0.15420929406027922,0.11981793802863142,0.4839529890431443
0.08252006370384257,0.35115235465415795,0.0849508510283831,0.11668281840904414,0.11604038846399516,0.14284241697390712,0.10581110676666998,0.47245058705202175
0.07237336510521704,0.4256245792260913,0.07463752057755065,0.10257518365595236,0.1056662010974598,0.12779815413909396,0.09132499619863493,0.45663987073191864
0.06170743065369089,0.5097319819433807,0.06362582959471783,0.08688058064286541,0.09234977975952241,0.10943829282856397,0.0762661045772589,0.43582833687511896
0.051073537297836494,0.5976288638698674,0.05252557636740067,0.07047076806167084,0.07733156274996601,0.08950416695741484,0.06146552469584379,0.412639206181444
0.014682500839893128,0.9034180896031283,0.014323585084989265,0.012411825518069693,0.023308729838091388,0.020135045806153093,0.011720223309675301,0.3725415319180616
0.04411812209003356,0.7629468276592374,0.04386862272341936,0.04235099648455924,0.03235632997967198,0.034846012273659015,0.03951308878942121,0.3817306395592926
0.04411812209003356,0.7629468276592374,0.04386862272341936,0.04235099648455924,0.03235632997967198,0.034846012273659015,0.03951308878942121,0.3817306395592926
0.02508264095265412,0.8430859504257663,0.024994486070188702,0.025444907394044425,0.027657882131549634,0.029887786594709396,0.023846346431087465,0.3745264636343384
0.016642222545279087,0.8491505497425316,0.016662188088769993,0.016827661945404186,0.03985661009777619,0.04481879802160176,0.016041969558637202,0.3720385783355905
0.011421600416850083,0.8471356673720897,0.011395588698849143,0.011624959391066208,0.0512516260442459,0.05609410772809579,0.011076450348805509,0.3701655932615391
0.011282781207156537,0.8328470004470078,0.011255750234876906,0.011464133610961406,0.05802549833182517,0.06416076501890262,0.010964071149269705,0.36993511549619035
0.006888405815602068,0.7935054591091619,0.006839263103349501,0.00702914539580265,0.08434331529363197,0.09422840488472511,0.007166006397726246,0.36810115116997516
0.006888405815602068,0.7935054591091619,0.006839263103349501,0.00702914539580265,0.08434331529363197,0.09422840488472511,0.007166006397726246,0.36810115116997516
0.002335151332167982,0.7759205907776314,0.0023279512126150826,0.002345810077237793,0.09930037239344261,0.1154747126992989,0.0022954115076138613,0.3658994727195367
0.002309360719750004,0.7840294911954583,0.0023021331212873,0.002319371883078984,0.09562909113584765,0.11113877212456193,0.0022717798200159074,0.3658211336319484
0.0012987533122798785,0.787675373718817,0.0012898113352433366,0.0012534758874452184,0.09579796483040481,0.11134549342865377,0.001339127487141573,0.3652817479635133
0.0012987533122798785,0.787675373718817,0.0012898113352433366,0.0012534758874452184,0.09579796483040481,0.11134549342865377,0.001339127487141573,0.3652817479635133
0.00026584719137471235,0.7888185111749881,0.00026714138671240454,0.00025609050695578556,0.0974630929016919,0.11267974623698325,0.00024957060130101393,0.3647423058025664
0.00026583126473937903,0.788431921439971,0.00026712333359948373,0.0002560734117695537,0.09760111845965368,0.11292836024614743,0.0002495718441195585,0.3647420935079366
0.00026574549758950043,0.7868195259256228,0.00026702652011960983,0.00025598213516595376,0.09813865026460035,0.11400349411427582,0.0002495755426260774,0.3647420000863318
0.00026574549758950043,0.7868195259256228,0.00026702652011960983,0.00025598213516595376,0.09813865026460035,0.11400349411427582,0.0002495755426260774,0.3647420000863318
4.785506991514862e-05,0.7866054008378437,4.594611488559599e-05,4.4549354099101396e-05,0.09856178388548845,0.11463240168657557,6.206305119200984e-05,0.36463206535411863
4.7855553936811346e-05,0.7866227720362972,4.594718351699794e-05,4.455020260261085e-05,0.09847242779649806,0.11470438984039709,6.205738675132935e-05,0.36463204058960513
4.785604803719671e-05,0.7866313270329419,4.5948271080649e-05,4.455106604138624e-05,0.09838281571681783,0.1147854502245706,6.205164051052795e-05,0.3646320147694386
4.785654932669358e-05,0.7866345142214507,4.5949372331862705e-05,4.45519401885228e-05,0.09829150845804026,0.11487357362423134,6.204583443048111e-05,0.36463198736130187
4.785705518646029e-05,0.7866344383055829,4.5950482252294256e-05,4.4552820988848624e-05,0.09819774993454056,0.1149674114099265,6.203999152255203e-05,0.3646319580756796
4.785756392425735e-05,0.7866322882658056,4.595159751545777e-05,4.455370579390978e-05,0.09810106339304783,0.11506625134667989,6.203412723318094e-05,0.3646319266934716
4.785807449357939e-05,0.7866287643081706,4.5952716076807194e-05,4.4554592967386016e-05,0.09800116778788918,0.11516967426924092,6.202825116135937e-05,0.36463189303568017
4.7858586137532046e-05,0.7866244089911656,4.595383642211217e-05,4.4555481285741095e-05,0.09789781170006505,0.1152773890343525,6.202237057148299e-05,0.36463185692180744
